hopital	deg_lon	deg_lat	lam_lon	lam_lat	pos
SteAnne	7.78804740	48.61489980	1052730.208	6845664.803	4
HTP	7.70714690	48.59323950	1046920.941	6842902.748	2
NHC	7.74104320	48.57536360	1049535.382	6841068.541	4
SteOdile	7.75780840	48.56514470	1050838.318	6840008.934	1
CH Haguenau	7.77857800	48.79733580	1050806.723	6865868.720	3 
CH Wissembourg	7.93197620	49.04175240	1060357.108	6893687.634	3
CH Saverne	7.34948860	48.74597440	1019654.098	6858345.856	3
CH Selestat	7.43438970	48.26115820	1028912.137	6804884.625	3
StLuc	7.22398380	48.48286130	1012003.369	6828636.172	3
CH Colmar	7.33731220	48.07491630	1022855.267	6783818.002	3
CH Guebwiller	7.21575570	47.90794590	1014805.840	6764800.373	3
CH Thann	7.09567220	47.81325770	1006392.396	6753821.525	3
CH Altkirch	7.25341060	47.62426690	1019311.931	6733478.215	3
CH Mulhouse	7.34344870	47.72490350	1025449.812	6745010.097	3
3Fr	7.55113910	47.58249980	1041906.351	6730091.780	3
