"INSEE_COM" "CODE_COMM" "NOM_COMM" "POPULATION" "SUPERFICIE"
"74" "67329" "329" "NIEDERNAI" 1.2 1127
"197" "67055" "055" "BOOFZHEIM" 1.2 1205
"267" "67010" "010" "ANDLAU" 1.8 2409
"428" "67073" "073" "CHATENOIS" 4.1 1451
"453" "67233" "233" "KERTZFELD" 1.3 930
"454" "67336" "336" "NORDHOUSE" 1.6 1141
"544" "67397" "397" "RHINAU" 2.7 1727
"1657" "67210" "210" "LE HOHWALD" 0.5 2087
"1658" "67445" "445" "SCHERWILLER" 3.1 1882
"2035" "67019" "019" "BALDENHEIM" 1.1 936
"3351" "67462" "462" "SELESTAT" 19.3 4752
"4042" "67266" "266" "LIMERSHEIM" 0.6 559
"4819" "67116" "116" "EBERSMUNSTER" 0.5 759
"4870" "67154" "154" "GERSTHEIM" 3.1 1790
"5322" "67486" "486" "SUNDHOUSE" 1.5 1590
"5620" "67239" "239" "KINTZHEIM" 1.5 1872
"5838" "67155" "155" "GERTWILLER" 0.9 486
"6852" "67545" "545" "WITTERNHEIM" 0.5 540
"8312" "67021" "021" "BARR" 6.7 2115
"8500" "67362" "362" "ORSCHWILLER" 0.6 622
"9358" "67499" "499" "URBEIS" 0.3 1232
"9764" "67092" "092" "DIEFFENBACH-AU-VAL" 0.6 302
"10494" "67526" "526" "WESTHOUSE" 1.4 1199
"10633" "67164" "164" "GOXWILLER" 0.8 329
"10886" "67310" "310" "MUSSIG" 1.2 1168
"10952" "67557" "557" "ZELLWILLER" 0.7 881
"10954" "67031" "031" "BERNARDSWILLER" 1.4 553
"10957" "67146" "146" "FRIESENHEIM" 0.7 1205
"11276" "67501" "501" "UTTENHEIM" 0.6 482
"11870" "67433" "433" "SAND" 1.2 634
"12816" "67084" "084" "DAMBACH-LA-VILLE" 1.9 2924
"13272" "67338" "338" "OBENHEIM" 1.4 793
"13609" "67320" "320" "NEUVE-EGLISE" 0.6 563
"13965" "67227" "227" "ITTERSWILLER" 0.3 118
"13966" "67051" "051" "BLIENSCHWILLER" 0.3 307
"14270" "67120" "120" "EICHHOFFEN" 0.5 224
"14958" "67028" "028" "BENFELD" 5.4 789
"15292" "67200" "200" "HIPSHEIM" 0.8 443
"15293" "67196" "196" "HILSENHEIM" 2.5 2030
"15650" "67090" "090" "DIEBOLSHEIM" 0.6 710
"16336" "67125" "125" "EPFIG" 2.1 2239
"16663" "67248" "248" "KRAUTERGERSHEIM" 1.6 626
"16665" "67086" "086" "DAUBENSAND" 0.4 406
"16964" "67464" "464" "SERMERSHEIM" 0.8 1016
"17313" "67280" "280" "MAISONSGOUTTE" 0.8 512
"17314" "67493" "493" "TRIEMBACH-AU-VAL" 0.5 298
"17315" "67364" "364" "OSTHOUSE" 1 982
"17752" "67216" "216" "HUTTENHEIM" 2.5 1243
"18010" "67387" "387" "REICHSFELD" 0.3 498
"18662" "67195" "195" "HESSENHEIM" 0.6 526
"19534" "67317" "317" "NEUBOIS" 0.7 1161
"20306" "67121" "121" "ELSENHEIM" 0.8 950
"20358" "67189" "189" "HEILIGENSTEIN" 1 391
