date, Wissembourg, Mulhouse,Altkirch, St Louis,Haguenau,Saverne, Strasbourg,Schirmeck,Selestat,Colmar,Guebwiller,Thann,somme,score
2014-02-14,1,1,1,2,1,1,1,1,2,1,1,1,14,2
2014-02-11,1,1,3,4,1,1,1,1,3,2,2,3,23,11
2014-02-09,1,2,2,2,1,1,1,1,3,2,2,2,20,8
2014-02-06,1,2,2,2,1,1,1,1,2,2,2,2,19,7
2014-02-01,1,2,3,3,1,1,1,1,2,2,2,2,21,9
2014-02-19,1,1,1,1,1,1,2,1,2,2,1,1,15,3
2014-02-20,1,1,1,1,1,1,3,1,2,2,1,1,16,4
2014-03-06,1,1,1,1,1,1,1,1,2,1,1,1,13,1
2014-03-11,1,1,1,1,1,1,1,1,2,1,1,1,13,1
2014-03-18,1,1,1,1,1,1,1,1,2,1,1,1,13,1
2015-01-14,1,1,1,1,1,1,1,1,2,2,1,1,14,2
2015-01-23,1,2,1,1,1,1,2,1,3,2,1,1,17,5
2015-01-27,1,2,1,1,2,2,2,1,3,3,2,1,21,9
2015-02-03,1,1,1,1,2,2,2,1,2,2,2,1,18,6
2015-02-04,1,1,1,1,2,2,3,1,2,2,2,1,19,7
2015-02-06,1,3,1,1,2,2,3,1,2,2,2,1,21,9
