"x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1SAUSHEIM","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","1","2","0","0","1","1","1","1","0","0","2","2","2","2","1","0","5","0","6","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","1","1","2","1","0","0","1","0","1","0"
"2","ACHENHEIM","0","0","0","0","0","0","0","0","2","1","2","1","0","0","2","0","2","0","0","0","1","1","1","2","0","0","2","0","2","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","1","1","2","2","0","0","1","0","1","0","1","0","0","0","1","1","0","0","2","0","3","1","0","0","0","0","0","0"
"3","ALBE","0","0","0","0","0","0","1","0","1","0","2","1","0","0","1","1","2","1","0","0","2","1","4","1","1","0","1","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","1","0","0","0","1","0","1","0","0","0","1","0","2","0","3","0","2","0","5"
"4","ALGOLSHEIM","1","1","0","0","3","1","0","0","3","0","3","1","1","1","2","2","3","3","2","3","3","1","6","5","3","0","4","1","7","1","1","0","4","0","5","0","0","1","1","2","2","4","0","0","2","0","3","0","0","0","0","2","1","2","0","0","2","1","3","1","0","0","0","2","0","2","0","0","4","2","4","2"
"5","ALTENACH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0"
"6","ALTENSTADT","0","0","1","1","1","1","0","0","0","0","1","0","0","0","2","1","2","1","0","0","1","0","3","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","2","1","3","2","0","0","2","0","2","0","0","0","2","1","2","1","0","0","0","1","0","2","0","0","0","0","2","1","0","0","0","0","0","2"
"7","ALTKIRCH","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","ALTORF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","AMMERSCHWIHR","1","0","3","4","4","6","0","0","0","1","0","1","0","0","2","1","2","1","0","1","1","3","2","4","0","1","1","2","1","3","0","0","5","2","5","2","1","0","3","1","5","1","0","0","0","0","0","0","0","0","2","3","2","3","0","0","4","4","4","4","0","0","2","3","4","3","0","0","3","5","3","5"
"10","AMMERTZWILLER","0","2","2","1","3","3","0","0","3","3","3","3","3","2","2","1","6","3","0","1","6","13","11","19","0","1","21","14","25","16","6","4","12","19","23","28","0","2","16","6","17","12","0","0","16","10","17","11","0","1","15","13","15","14","0","0","8","7","8","9","2","1","3","3","6","5","0","0","5","12","6","12"
"11","ANDLAU","0","0","0","0","0","1","0","1","0","0","0","1","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","2","0","2","0"
"12","ANDOLSHEIM","0","1","3","3","3","4","0","2","2","2","2","4","2","1","1","1","5","2","0","0","1","2","3","4","2","1","3","1","5","2","1","0","4","0","7","0","1","0","3","2","4","2","2","1","5","3","7","4","0","1","1","3","2","4","0","0","3","0","3","0","0","1","4","1","4","2","0","0","0","1","2","3"
"13","APPENWIHR","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0"
"14","ARTOLSHEIM","0","0","3","1","4","1","0","0","0","2","3","2","0","0","2","0","3","0","0","0","4","1","5","3","0","0","6","0","8","0","1","2","2","0","3","3","0","2","3","0","4","2","0","0","1","1","1","1","0","1","2","1","3","5","0","0","1","0","2","2","0","0","0","2","2","2","0","0","3","0","4","0"
"15","ARTZENHEIM","4","1","2","2","7","4","2","1","1","4","4","5","0","0","4","3","5","3","0","0","3","1","5","2","4","1","0","1","4","4","2","1","3","1","6","3","2","2","4","1","6","3","1","1","3","2","4","5","0","2","4","1","5","5","2","2","3","2","8","4","1","1","4","1","5","4","0","2","3","1","3","3"
"16","ASCHBACH","0","0","0","1","0","1","2","0","0","0","3","0","1","1","1","0","2","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","2","1","2","0","2","1","0","1","3","0","0","0","0","0","0","1","0","1","1","2","1","0","0","0","0","0","0","0","0","2","1","2","1","1","0","0","0","1","0"
"17","ASPACH","0","0","0","2","1","2","0","0","0","0","0","1","0","0","1","0","2","1","0","0","2","0","2","0","1","1","3","1","4","2","0","1","2","0","3","1","2","0","4","2","6","3","0","0","3","1","4","2","0","0","2","3","3","6","0","0","1","1","3","1","0","0","1","3","1","3","1","0","0","1","1","1"
"18","ASPACH LE BAS","0","1","0","1","0","3","0","1","0","1","1","3","1","1","1","1","2","2","1","0","1","0","2","0","0","0","1","1","1","1","1","0","0","4","1","4","0","1","2","0","3","1","0","0","1","0","1","1","0","0","2","3","2","3","1","0","1","0","2","3","2","1","0","1","2","2","1","0","0","0","1","1"
"19","ASPACH LE HAUT","1","0","2","1","3","1","0","0","2","0","3","0","0","0","1","2","1","2","0","0","2","0","2","0","0","0","1","0","1","0","2","0","2","2","4","2","2","0","5","0","7","0","1","0","2","0","3","0","0","0","2","3","2","3","0","0","2","1","2","1","0","0","1","3","1","3","0","0","2","4","2","4"
"20","AUBURE","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","3","1","3","3","0","0","2","1","2","2","0","0","0","2","0","3","1","0","1","2","2","2","0","0","5","0","6","3","0","0","1","4","1","4","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","0","3","0"
"21","AUENHEIM","0","0","4","2","4","2","1","0","1","1","2","1","0","0","0","1","0","1","0","0","2","1","2","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","2","0","0","0","1","1","1","2","0","0","2","0","3","1","0","0","0","1","0","2","0","0","1","1","1","1","0","0","0","2","0","2"
"22","BALBRONN","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","2","1","0","1","0","2","0"
"23","BALDENHEIM","0","1","4","1","4","3","0","1","1","0","1","1","0","0","5","1","6","1","0","0","0","0","0","0","0","0","4","0","4","1","0","0","4","0","4","0","0","0","4","2","5","2","0","0","4","1","5","1","0","0","0","1","0","1","0","0","1","2","1","3","0","0","1","2","1","2","0","0","2","3","2","3"
"24","BALDERSHEIM","1","0","0","0","1","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","3","0","0","0","1","1","1","1","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"25","BALGAU","1","0","3","2","4","2","0","0","0","1","0","1","2","1","0","0","5","1","0","0","0","1","0","1","1","0","3","2","4","2","0","0","5","0","6","1","0","0","2","2","3","3","0","2","1","3","1","5","0","0","1","0","1","0","0","1","1","0","2","1","0","0","0","0","3","0","0","0","1","0","2","1"
"26","BALLERSDORF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","BALSCHWILLER","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","BALTZENHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","BANTZENHEIM","1","0","3","1","5","1","0","0","0","0","0","1","0","0","2","2","2","2","0","0","11","1","11","1","0","1","2","1","3","3","0","1","5","2","5","3","0","0","1","4","1","4","1","0","5","1","9","3","2","0","4","1","7","2","0","1","3","2","3","4","2","0","1","1","3","2","1","0","2","1","4","1"
"30","BARR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"31","BARTENHEIM","0","0","2","1","2","1","2","0","1","4","4","5","0","0","2","1","4","3","2","2","3","1","6","5","0","0","3","3","3","3","1","0","4","4","9","6","0","1","7","3","8","5","0","0","2","1","3","2","0","0","4","4","5","5","1","0","2","3","4","3","0","0","5","1","6","2","1","1","1","2","2","3"
"32","BARTENHEIM LA CHAUSSEE","0","0","1","0","1","0","1","0","0","1","1","1","0","0","2","0","3","0","0","0","3","1","4","1","0","0","0","1","1","1","1","0","1","1","2","1","0","0","0","4","1","4","0","0","0","1","0","2","0","1","0","2","1","3","1","0","2","1","3","2","0","0","2","0","2","0","1","0","2","1","3","2"
"33","BASSEMBERG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","2","4","0","0","0","1","0","1","0","0","4","1","4","2","0","0","0","1","2","2","0","0","1","1","1","2","0","0","0","1","0","1","0","0","0","1","0","1","0","0","2","1","2","1","0","0","0","0","0","0"
"34","BATTENHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","2","0","2","0","0","0","0","0","0","0","1","3","1","4","2","0","0","1","1","1","1","1","0","0","0","1","0","0","0","2","1","2","1","1","0","1","1","2","2","0","0","1","0","1","0"
"35","BATZENDORF","1","0","0","0","1","0","1","0","0","1","1","1","0","1","1","0","2","2","0","0","0","2","0","2","0","0","2","1","2","1","0","0","0","0","0","0","0","1","0","1","0","2","0","0","2","1","2","1","0","0","4","1","4","1","1","0","0","0","1","0","0","0","0","1","0","2","0","1","1","1","1","2"
"36","BEBLENHEIM","0","1","3","2","3","3","1","0","3","4","5","6","0","0","3","3","4","6","0","0","0","4","1","6","0","0","1","1","1","2","0","0","1","0","1","0","0","1","0","1","1","2","0","0","2","1","3","2","1","0","1","2","2","2","0","2","0","0","1","2","0","0","1","0","1","1","0","0","2","1","2","2"
